time,p_flow
1708,2900
1709,2766
1710,2948
1711,2119
1712,1548
1713,1650
1714,1107
1715,1095
1716,789
1717,994
1718,837
1719,908
1720,699
1721,805
1722,709
1723,642
1724,475
1725,401
1726,134
1727,11
1728,1
1729,21
1730,36
1731,128
1732,153
1733,219
1734,238
1735,431
1736,532
1737,684
1738,930
1739,1196
1740,1575
1741,1630
1742,1647
1743,1378
1744,1147
1745,896
1746,755
1747,615
1748,736
1749,738
1750,630
1751,669
1752,635
1753,576
1754,608
1755,707
1756,629
1757,731
1758,757
1759,717
1760,987
1761,922
1762,1073
1763,853
1764,879
1765,975
1766,815
1767,805
1768,791
1769,1068
1770,1000
1771,957
1772,998
1773,1011
1774,1111
1775,1251
1776,1336
1777,1820
1778,2213
1779,2575
1780,2981
1781,2805
1782,2787
1783,2198
1784,1778
1785,1658
1786,1408
1787,976
1788,929
1789,961
1790,933
1791,917
1792,848
1793,863
1794,737
1795,737
1796,577
1797,515
1798,172
1799,26
1800,3
